cliente_ref,pelicula_ref,pelicula_titulo,categoria_nombre,ingreso,veces_alquilada_pelicula,precio_promedio_genero,codigo_genero,ingreso_alto,pelicula_popular,genero_alto_valor
Kathleen Adams,Betrayed Rear,Betrayed Rear,Niños,4.99,15,3.87,13,1,0,0
Reginald Kinder,Gilmore Boiled,Gilmore Boiled,Clásicos,0.99,28,3.88,3,0,1,0
Alex Gresham,Dawn Pond,Dawn Pond,Juegos,4.99,18,4.42,11,0,0,1
Arnold Havens,Behavior Runaway,Behavior Runaway,Horror,9.99,13,4.4,10,1,0,0
Ron Deluca,Magic Mallrats,Magic Mallrats,Niños,0.99,7,3.87,13,0,0,0
Ken Prewitt,Sorority Queen,Sorority Queen,Extranjero,3.99,12,4.13,8,0,0,0
Pauline Henry,Varsity Trip,Varsity Trip,Nuevo,2.99,16,4.63,14,0,0,1
Carla Gutierrez,Thin Sagebrush,Thin Sagebrush,Documental,4.99,11,4.02,6,1,0,0
Thelma Murray,Midsummer Groundhog,Midsummer Groundhog,Documental,4.99,22,4.02,6,1,1,0
Brandon Huey,Orient Closer,Orient Closer,Drama,5.99,17,4.33,7,1,0,0
Angel Barclay,Microcosmos Paradise,Microcosmos Paradise,Niños,2.99,13,3.87,13,0,0,0
Jacqueline Long,Lola Agent,Lola Agent,Horror,9.99,24,4.4,10,1,1,0
Matthew Mahan,Excitement Eve,Excitement Eve,Acción,1.99,21,3.94,0,0,1,0
Bryan Hardison,Madigan Dorado,Madigan Dorado,Viajar,6.99,10,4.24,15,1,0,0
Marsha Douglas,Candles Grapes,Candles Grapes,Juegos,4.99,23,4.42,11,0,1,1
Stephanie Mitchell,Balloon Homeward,Balloon Homeward,Música,2.99,23,4.12,12,0,1,0
Alfredo Mcadams,Hills Neighbors,Hills Neighbors,Acción,0.99,25,3.94,0,0,1,0
Leroy Bustamante,Gone Trouble,Gone Trouble,Drama,3.99,10,4.33,7,0,0,0
Gilbert Sledge,Freedom Cleopatra,Freedom Cleopatra,Comedia,0.99,5,4.66,4,0,0,1
Perry Swafford,Vanilla Day,Vanilla Day,Juegos,4.99,9,4.42,11,0,0,1
Beth Franklin,Scarface Bang,Scarface Bang,Niños,8.99,18,3.87,13,1,0,0
Kent Arsenault,Crusade Honey,Crusade Honey,Deportes,6.99,8,4.51,5,1,0,1
Naomi Jennings,Cider Desire,Cider Desire,Documental,2.99,19,4.02,6,0,0,0
Bruce Schwarz,Tracy Cider,Tracy Cider,Animación,1.99,26,3.99,1,0,1,0
Harry Arce,Kwai Homeward,Kwai Homeward,Drama,0.99,23,4.33,7,0,1,0
Leslie Gordon,Ghost Groundhog,Ghost Groundhog,Niños,7.99,21,3.87,13,1,1,0
Derek Blakely,Fantasia Park,Fantasia Park,Juegos,2.99,19,4.42,11,0,0,1
Ashley Richardson,Scalawag Duck,Scalawag Duck,Música,4.99,32,4.12,12,1,1,0
Elsie Kelley,Shrek License,Shrek License,Extranjero,2.99,15,4.13,8,0,0,0
Emily Diaz,Dynamite Tarzan,Dynamite Tarzan,Clásicos,0.99,25,3.88,3,0,1,0
Ross Grey,Unbreakable Karate,Unbreakable Karate,Nuevo,3.99,21,4.63,14,0,1,1
Renee Lane,Jungle Closer,Jungle Closer,Nuevo,3.99,9,4.63,14,0,0,1
Jackie Lynch,Instinct Airport,Instinct Airport,Deportes,2.99,18,4.51,5,0,0,1
Claude Herzog,Open African,Open African,Ciencia ficción,5.99,21,4.32,2,1,1,0
Leslie Seward,Agent Truman,Agent Truman,Extranjero,7.99,21,4.13,8,1,1,0
Joshua Mark,Color Philadelphia,Color Philadelphia,Clásicos,2.99,24,3.88,3,0,1,0
Charles Kowalski,Kane Exorcist,Kane Exorcist,Extranjero,1.99,14,4.13,8,0,0,0
Julio Noland,Spartacus Cheaper,Spartacus Cheaper,Familia,5.99,9,3.86,9,1,0,0
Kathryn Coleman,Basic Easy,Basic Easy,Viajar,6.99,21,4.24,15,1,1,0
Gerald Fultz,Impossible Prejudice,Impossible Prejudice,Extranjero,4.99,14,4.13,8,1,0,0
Bill Gavin,Freddy Storm,Freddy Storm,Horror,5.99,23,4.4,10,1,1,0
Sidney Burleson,Princess Giant,Princess Giant,Documental,2.99,27,4.02,6,0,1,0
Carrie Porter,Shootist Superfly,Shootist Superfly,Drama,0.99,24,4.33,7,0,1,0
Raymond Mcwhorter,Coldblooded Darling,Coldblooded Darling,Ciencia ficción,6.99,16,4.32,2,1,0,0
Luis Yanez,Unbreakable Karate,Unbreakable Karate,Nuevo,3.99,21,4.63,14,0,1,1
Harvey Guajardo,Dream Pickup,Dream Pickup,Acción,4.99,22,3.94,0,1,1,0
Brett Cornwell,Holocaust Highball,Holocaust Highball,Niños,2.99,17,3.87,13,0,0,0
Leona Obrien,Dynamite Tarzan,Dynamite Tarzan,Clásicos,0.99,25,3.88,3,0,1,0
Lisa Anderson,Color Philadelphia,Color Philadelphia,Clásicos,2.99,24,3.88,3,0,1,0
Byron Box,Smoking Barbarella,Smoking Barbarella,Documental,0.99,18,4.02,6,0,0,0
Jennie Terry,Ending Crowds,Ending Crowds,Nuevo,0.99,11,4.63,14,0,0,1
Mary Smith,Saturday Lambs,Saturday Lambs,Deportes,5.99,28,4.51,5,1,1,1
Billy Poulin,Alone Trip,Alone Trip,Música,1.99,18,4.12,12,0,0,0
Virgil Wofford,Bull Shawshank,Bull Shawshank,Acción,0.99,16,3.94,0,0,0,0
Kathy James,Matrix Snowman,Matrix Snowman,Extranjero,4.99,9,4.13,8,1,0,0
Stanley Scroggins,Eagles Panky,Eagles Panky,Nuevo,8.99,22,4.63,14,1,1,1
Tracey Barrett,Matrix Snowman,Matrix Snowman,Extranjero,4.99,9,4.13,8,1,0,0
Pedro Chestnut,Spiking Element,Spiking Element,Clásicos,4.99,13,3.88,3,1,0,0
Dana Hart,Sleuth Orient,Sleuth Orient,Juegos,2.99,21,4.42,11,0,1,1
Daryl Larue,Innocent Usual,Innocent Usual,Extranjero,9.99,26,4.13,8,1,1,0
Ella Oliver,Samurai Lion,Samurai Lion,Nuevo,5.99,25,4.63,14,1,1,1
Sherri Rhodes,Gangs Pride,Gangs Pride,Animación,2.99,27,3.99,1,0,1,0
Violet Rodriquez,Moon Bunch,Moon Bunch,Extranjero,0.99,29,4.13,8,0,1,0
Rene Mcalister,Translation Summer,Translation Summer,Drama,0.99,15,4.33,7,0,0,0
Peter Menard,Frogmen Breaking,Frogmen Breaking,Viajar,2.99,10,4.24,15,0,0,0
Jorge Olivares,Bilko Anonymous,Bilko Anonymous,Familia,4.99,13,3.86,9,1,0,0
Nina Soto,Airport Pollock,Airport Pollock,Horror,4.99,18,4.4,10,0,0,0
Lori Wood,License Weekend,License Weekend,Ciencia ficción,2.99,7,4.32,2,0,0,0
Tyrone Asher,Heavyweights Beast,Heavyweights Beast,Documental,4.99,23,4.02,6,1,1,0
Ken Prewitt,Balloon Homeward,Balloon Homeward,Música,6.99,23,4.12,12,1,1,0
Ronald Weiner,Sabrina Midnight,Sabrina Midnight,Niños,4.99,21,3.87,13,1,1,0
Cheryl Murphy,Bucket Brotherhood,Bucket Brotherhood,Viajar,4.99,34,4.24,15,1,1,0
Philip Causey,Virgin Daisy,Virgin Daisy,Drama,5.99,17,4.33,7,1,0,0
Roger Quintanilla,Primary Glass,Primary Glass,Acción,0.99,27,3.94,0,0,1,0
Carole Barnett,Congeniality Quest,Congeniality Quest,Deportes,0.99,22,4.51,5,0,1,1
Rose Howard,Lose Inch,Lose Inch,Extranjero,3.99,27,4.13,8,0,1,0
Allison Stanley,Haunted Antitrust,Haunted Antitrust,Viajar,4.99,6,4.24,15,1,0,0
Hilda Hopkins,Hills Neighbors,Hills Neighbors,Acción,0.99,25,3.94,0,0,1,0
Richard Mccrary,Jerk Paycheck,Jerk Paycheck,Clásicos,2.99,20,3.88,3,0,0,0
Tammy Sanders,Lover Truman,Lover Truman,Clásicos,5.99,10,3.88,3,1,0,0
Leslie Seward,Drifter Commandments,Drifter Commandments,Acción,6.99,24,3.94,0,1,1,0
Jessica Hall,Lose Inch,Lose Inch,Extranjero,6.99,27,4.13,8,1,1,0
Melissa King,Homicide Peach,Homicide Peach,Familia,2.99,22,3.86,9,0,1,0
Troy Quigley,Banger Pinocchio,Banger Pinocchio,Música,0.99,22,4.12,12,0,1,0
Martha Gonzalez,Raging Airplane,Raging Airplane,Ciencia ficción,4.99,13,4.32,2,0,0,0
Bryan Hardison,Cider Desire,Cider Desire,Documental,2.99,19,4.02,6,0,0,0
Nicholas Barfield,Champion Flatliners,Champion Flatliners,Animación,8.99,13,3.99,1,1,0,0
Mark Rinehart,Chocolat Harry,Chocolat Harry,Familia,3.99,20,3.86,9,0,0,0
Marcus Hidalgo,Saturday Lambs,Saturday Lambs,Deportes,6.99,28,4.51,5,1,1,1
Bessie Morrison,Downhill Enough,Downhill Enough,Comedia,4.99,25,4.66,4,0,1,1
Tracy Cole,None Spiking,None Spiking,Ciencia ficción,4.99,27,4.32,2,0,1,0
Felix Gaffney,Theory Mermaid,Theory Mermaid,Animación,0.99,11,3.99,1,0,0,0
Elaine Stevens,Troopers Metal,Troopers Metal,Nuevo,5.99,14,4.63,14,1,0,1
Stanley Scroggins,Majestic Floats,Majestic Floats,Documental,4.99,17,4.02,6,1,0,0
Eddie Tomlin,Truman Crazy,Truman Crazy,Acción,6.99,23,3.94,0,1,1,0
Gina Williamson,Ties Hunger,Ties Hunger,Niños,8.99,11,3.87,13,1,0,0
Debbie Reyes,Conversation Downhill,Conversation Downhill,Familia,5.99,17,3.86,9,1,0,0
Teresa Rogers,Desperate Trainspotting,Desperate Trainspotting,Viajar,4.99,6,4.24,15,1,0,0
Lynn Payne,Polish Brooklyn,Polish Brooklyn,Niños,0.99,18,3.87,13,0,0,0
Francis Sikes,Wardrobe Phantom,Wardrobe Phantom,Drama,2.99,27,4.33,7,0,1,0
Amber Dixon,Earring Instinct,Earring Instinct,Familia,0.99,19,3.86,9,0,0,0
Gabriel Harder,Minds Truman,Minds Truman,Acción,4.99,20,3.94,0,1,0,0
Max Pitt,Family Sweet,Family Sweet,Horror,0.99,29,4.4,10,0,1,0
Amber Dixon,Oz Liaisons,Oz Liaisons,Animación,2.99,24,3.99,1,0,1,0
Kelly Knott,Evolution Alter,Evolution Alter,Deportes,0.99,12,4.51,5,0,0,1
Connie Wallace,Cassidy Wyoming,Cassidy Wyoming,Viajar,3.99,6,4.24,15,0,0,0
Sylvia Ortiz,Zorro Ark,Zorro Ark,Comedia,9.99,31,4.66,4,1,1,1
Clyde Tobias,Robbers Joon,Robbers Joon,Niños,2.99,31,3.87,13,0,1,0
Herman Devore,Sunrise League,Sunrise League,Animación,10.99,24,3.99,1,1,1,0
Virgil Wofford,Saturn Name,Saturn Name,Comedia,5.99,13,4.66,4,1,0,1
Suzanne Nichols,Ridgemont Submarine,Ridgemont Submarine,Nuevo,5.99,32,4.63,14,1,1,1
Doris Reed,Instinct Airport,Instinct Airport,Deportes,4.99,18,4.51,5,0,0,1
Carol Garcia,Hills Neighbors,Hills Neighbors,Acción,3.99,25,3.94,0,0,1,0
Lois Butler,Mystic Truman,Mystic Truman,Comedia,4.99,10,4.66,4,0,0,1
Frank Waggoner,Gentlemen Stage,Gentlemen Stage,Extranjero,2.99,23,4.13,8,0,1,0
Russell Brinson,Escape Metropolis,Escape Metropolis,Viajar,2.99,25,4.24,15,0,1,0
Michael Silverman,Memento Zoolander,Memento Zoolander,Comedia,4.99,13,4.66,4,0,0,1
Myrtle Fleming,Edge Kissing,Edge Kissing,Drama,5.99,15,4.33,7,1,0,0
Willie Howell,Banger Pinocchio,Banger Pinocchio,Música,0.99,22,4.12,12,0,1,0
Alfred Casillas,Shock Cabin,Shock Cabin,Extranjero,2.99,30,4.13,8,0,1,0
Colleen Burton,Telemark Heartbreakers,Telemark Heartbreakers,Animación,2.99,25,3.99,1,0,1,0
Pauline Henry,Devil Desire,Devil Desire,Acción,6.99,15,3.94,0,1,0,0
Hilda Hopkins,Crossroads Casualties,Crossroads Casualties,Animación,2.99,21,3.99,1,0,1,0
Felicia Sutton,Salute Apollo,Salute Apollo,Nuevo,2.99,23,4.63,14,0,1,1
Perry Swafford,Calendar Gunfight,Calendar Gunfight,Extranjero,9.99,21,4.13,8,1,1,0
Seth Hannon,Center Dinosaur,Center Dinosaur,Clásicos,4.99,24,3.88,3,1,1,0
Claudia Fuller,Feathers Metal,Feathers Metal,Juegos,0.99,11,4.42,11,0,0,1
Erica Matthews,Driving Polish,Driving Polish,Música,4.99,21,4.12,12,1,1,0
Marilyn Ross,Shakespeare Saddle,Shakespeare Saddle,Deportes,5.99,22,4.51,5,1,1,1
Benjamin Varney,Malkovich Pet,Malkovich Pet,Clásicos,4.99,26,3.88,3,1,1,0
Judith Cox,Resurrection Silverado,Resurrection Silverado,Familia,1.99,21,3.86,9,0,1,0
Ellen Simpson,Celebrity Horn,Celebrity Horn,Acción,0.99,24,3.94,0,0,1,0
Bobbie Craig,Flying Hook,Flying Hook,Animación,2.99,20,3.99,1,0,0,0
Bessie Morrison,Goodfellas Salute,Goodfellas Salute,Ciencia ficción,6.99,31,4.32,2,1,1,0
Tamara Nguyen,Side Ark,Side Ark,Acción,0.99,12,3.94,0,0,0,0
Debra Nelson,Confused Candles,Confused Candles,Familia,8.99,17,3.86,9,1,0,0
Kyle Spurlock,Falcon Volume,Falcon Volume,Animación,5.99,22,3.99,1,1,1,0
Pearl Garza,Town Ark,Town Ark,Extranjero,2.99,14,4.13,8,0,0,0
Ivan Cromwell,Sundance Invasion,Sundance Invasion,Niños,0.99,19,3.87,13,0,0,0
Roger Quintanilla,Loverboy Attacks,Loverboy Attacks,Nuevo,0.99,12,4.63,14,0,0,1
Edward Baugh,Story Side,Story Side,Acción,0.99,28,3.94,0,0,1,0
Arnold Havens,Past Suicides,Past Suicides,Extranjero,4.99,13,4.13,8,1,0,0
Gloria Cook,Mermaid Insects,Mermaid Insects,Deportes,4.99,16,4.51,5,0,0,1
Cody Nolen,Noon Papi,Noon Papi,Niños,2.99,17,3.87,13,0,0,0
Cynthia Young,Kick Savannah,Kick Savannah,Viajar,0.99,20,4.24,15,0,0,0
Anne Powell,Smile Earring,Smile Earring,Viajar,2.99,10,4.24,15,0,0,0
Russell Brinson,Majestic Floats,Majestic Floats,Documental,4.99,17,4.02,6,1,0,0
Velma Lucas,Aladdin Calendar,Aladdin Calendar,Deportes,4.99,23,4.51,5,0,1,1
Wilma Richards,Range Moonwalker,Range Moonwalker,Familia,10.99,27,3.86,9,1,1,0
Sheila Wells,Sundance Invasion,Sundance Invasion,Niños,2.99,19,3.87,13,0,0,0
Seth Hannon,Barefoot Manchurian,Barefoot Manchurian,Acción,2.99,18,3.94,0,0,0,0
Ken Prewitt,Labyrinth League,Labyrinth League,Niños,2.99,15,3.87,13,0,0,0
Debra Nelson,Lesson Cleopatra,Lesson Cleopatra,Deportes,6.99,7,4.51,5,1,0,1
Gertrude Castillo,Feathers Metal,Feathers Metal,Juegos,5.99,11,4.42,11,1,0,1
Phillip Holm,Holes Brannigan,Holes Brannigan,Deportes,6.99,15,4.51,5,1,0,1
Brandy Graves,Sweethearts Suspects,Sweethearts Suspects,Niños,0.99,29,3.87,13,0,1,0
Clarence Gamez,Hobbit Alien,Hobbit Alien,Drama,0.99,31,4.33,7,0,1,0
Calvin Martel,Fool Mockingbird,Fool Mockingbird,Acción,4.99,23,3.94,0,1,1,0
Javier Elrod,Gleaming Jawbreaker,Gleaming Jawbreaker,Deportes,6.99,29,4.51,5,1,1,1
Armando Gruber,Evolution Alter,Evolution Alter,Deportes,2.99,12,4.51,5,0,0,1
Tom Milner,Mockingbird Hollywood,Mockingbird Hollywood,Acción,0.99,24,3.94,0,0,1,0
Claudia Fuller,Pittsburgh Hunchback,Pittsburgh Hunchback,Familia,7.99,12,3.86,9,1,0,0
Seth Hannon,Soldiers Evolution,Soldiers Evolution,Ciencia ficción,4.99,8,4.32,2,0,0,0
Marie Turner,Dawn Pond,Dawn Pond,Juegos,9.99,18,4.42,11,1,0,1
Carol Garcia,Rollercoaster Bringing,Rollercoaster Bringing,Horror,3.99,10,4.4,10,0,0,0
Linda Williams,Ice Crossing,Ice Crossing,Juegos,4.99,24,4.42,11,0,1,1
Clara Shaw,Wait Cider,Wait Cider,Animación,6.99,21,3.99,1,1,1,0
Debra Nelson,Element Freddy,Element Freddy,Comedia,7.99,10,4.66,4,1,0,1
Warren Sherrod,Sleepy Japanese,Sleepy Japanese,Nuevo,3.99,21,4.63,14,0,1,1
Eileen Carr,Fidelity Devil,Fidelity Devil,Horror,4.99,21,4.4,10,0,1,0
Ellen Simpson,Gentlemen Stage,Gentlemen Stage,Extranjero,2.99,23,4.13,8,0,1,0
Heidi Larson,Tootsie Pilot,Tootsie Pilot,Niños,0.99,15,3.87,13,0,0,0
Wallace Slone,Beverly Outlaw,Beverly Outlaw,Ciencia ficción,5.99,21,4.32,2,1,1,0
Phyllis Foster,Jeopardy Encino,Jeopardy Encino,Clásicos,2.99,10,3.88,3,0,0,0
Kelly Knott,Hobbit Alien,Hobbit Alien,Drama,0.99,31,4.33,7,0,1,0
Bobby Boudreau,Vietnam Smoochy,Vietnam Smoochy,Drama,0.99,15,4.33,7,0,0,0
Rachel Barnes,Party Knock,Party Knock,Comedia,4.99,13,4.66,4,0,0,1
Victoria Gibson,Vampire Whale,Vampire Whale,Nuevo,4.99,12,4.63,14,0,0,1
Brenda Wright,Hunchback Impossible,Hunchback Impossible,Drama,9.99,20,4.33,7,1,0,0
Sue Peters,Anthem Luke,Anthem Luke,Comedia,4.99,15,4.66,4,0,0,1
Carlos Coughlin,Mask Peach,Mask Peach,Nuevo,2.99,17,4.63,14,0,0,1
Christy Vargas,Camelot Vacation,Camelot Vacation,Ciencia ficción,6.99,27,4.32,2,1,1,0
Patrick Newsom,Patient Sister,Patient Sister,Clásicos,0.99,19,3.88,3,0,0,0
Javier Elrod,Alley Evolution,Alley Evolution,Extranjero,2.99,14,4.13,8,0,0,0
Edgar Rhoads,Outfield Massacre,Outfield Massacre,Música,0.99,20,4.12,12,0,0,0
Justin Ngo,Eyes Driving,Eyes Driving,Ciencia ficción,2.99,19,4.32,2,0,0,0
Eleanor Hunt,Arizona Bang,Arizona Bang,Clásicos,2.99,21,3.88,3,0,1,0
Martin Bales,Sugar Wonka,Sugar Wonka,Animación,5.99,17,3.99,1,1,0,0
Margaret Moore,Valentine Vanishing,Valentine Vanishing,Viajar,0.99,12,4.24,15,0,0,0
Marcia Dean,Dying Maker,Dying Maker,Comedia,4.99,17,4.66,4,0,0,1
Elsie Kelley,Room Roman,Room Roman,Animación,0.99,20,3.99,1,0,0,0
Troy Quigley,Samurai Lion,Samurai Lion,Nuevo,2.99,25,4.63,14,0,1,1
Cecil Vines,Range Moonwalker,Range Moonwalker,Familia,5.99,27,3.86,9,1,1,0
Clarence Gamez,Gilmore Boiled,Gilmore Boiled,Clásicos,0.99,28,3.88,3,0,1,0
Tracy Cole,Primary Glass,Primary Glass,Acción,0.99,27,3.94,0,0,1,0
Eugene Culpepper,Chill Luck,Chill Luck,Drama,0.99,22,4.33,7,0,1,0
Jack Foust,Pet Haunting,Pet Haunting,Extranjero,1.99,8,4.13,8,0,0,0
Nathaniel Adam,Ending Crowds,Ending Crowds,Nuevo,0.99,11,4.63,14,0,0,1
Bobbie Craig,Slipper Fidelity,Slipper Fidelity,Deportes,0.99,16,4.51,5,0,0,1
Sonia Gregory,Sweden Shining,Sweden Shining,Comedia,7.99,18,4.66,4,1,0,1
Samantha Duncan,Smoochy Control,Smoochy Control,Deportes,0.99,12,4.51,5,0,0,1
Jack Foust,Secretary Rouge,Secretary Rouge,Deportes,5.99,18,4.51,5,1,0,1
Kathleen Adams,Boogie Amelie,Boogie Amelie,Música,4.99,29,4.12,12,1,1,0
Floyd Gandy,Curtain Videotape,Curtain Videotape,Juegos,0.99,27,4.42,11,0,1,1
Julia Flores,Dying Maker,Dying Maker,Comedia,8.99,17,4.66,4,1,0,1
Randall Neumann,Bucket Brotherhood,Bucket Brotherhood,Viajar,4.99,34,4.24,15,1,1,0
Valerie Black,Divide Monster,Divide Monster,Ciencia ficción,3.99,21,4.32,2,0,1,0
Juan Fraley,Song Hedwig,Song Hedwig,Música,2.99,11,4.12,12,0,0,0
Maurice Crawley,Musketeers Wait,Musketeers Wait,Clásicos,4.99,17,3.88,3,1,0,0
Ruben Geary,Salute Apollo,Salute Apollo,Nuevo,2.99,23,4.63,14,0,1,1
Byron Box,Loathing Legally,Loathing Legally,Clásicos,2.99,27,3.88,3,0,1,0
Amy Lopez,Divide Monster,Divide Monster,Ciencia ficción,2.99,21,4.32,2,0,1,0
Glen Talbert,Intolerable Intentions,Intolerable Intentions,Documental,7.99,9,4.02,6,1,0,0
Ron Deluca,Patriot Roman,Patriot Roman,Acción,2.99,16,3.94,0,0,0,0
Ricardo Meador,Chocolat Harry,Chocolat Harry,Familia,3.99,20,3.86,9,0,0,0
Terrence Gunderson,Vacation Boondock,Vacation Boondock,Ciencia ficción,2.99,21,4.32,2,0,1,0
Ken Prewitt,Metal Armageddon,Metal Armageddon,Documental,5.99,25,4.02,6,1,1,0
Crystal Ford,Bringing Hysterical,Bringing Hysterical,Comedia,3.99,20,4.66,4,0,0,1
Lori Wood,Chainsaw Uptown,Chainsaw Uptown,Ciencia ficción,0.99,21,4.32,2,0,1,0
Dennis Gilman,Excitement Eve,Excitement Eve,Acción,4.99,21,3.94,0,1,1,0
Wendy Harrison,Moulin Wake,Moulin Wake,Viajar,1.99,16,4.24,15,0,0,0
Rene Mcalister,Handicap Boondock,Handicap Boondock,Acción,4.99,28,3.94,0,1,1,0
Troy Quigley,Bringing Hysterical,Bringing Hysterical,Comedia,4.99,20,4.66,4,0,0,1
Kristin Johnston,Summer Scarface,Summer Scarface,Clásicos,3.99,16,3.88,3,0,0,0
Renee Lane,Caper Motions,Caper Motions,Comedia,0.99,24,4.66,4,0,1,1
Dustin Gillette,Alamo Videotape,Alamo Videotape,Extranjero,0.99,24,4.13,8,0,1,0
Shelly Watts,Moonwalker Fool,Moonwalker Fool,Juegos,7.99,13,4.42,11,1,0,1
Maria Miller,Strictly Scarface,Strictly Scarface,Comedia,5.99,23,4.66,4,1,1,1
Jessie Milam,Cincinatti Whisperer,Cincinatti Whisperer,Ciencia ficción,4.99,13,4.32,2,0,0,0
Beverly Brooks,Affair Prejudice,Affair Prejudice,Horror,4.99,23,4.4,10,0,1,0
Reginald Kinder,Amelie Hellfighters,Amelie Hellfighters,Música,4.99,10,4.12,12,1,0,0
Philip Causey,Maiden Home,Maiden Home,Nuevo,7.99,24,4.63,14,1,1,1
Joanne Robertson,Insects Stone,Insects Stone,Animación,0.99,18,3.99,1,0,0,0
Jesus Mccartney,Pilot Hoosiers,Pilot Hoosiers,Familia,3.99,16,3.86,9,0,0,0
Jim Rea,Magnificent Chitty,Magnificent Chitty,Clásicos,8.99,8,3.88,3,1,0,0
Gilbert Sledge,Roxanne Rebel,Roxanne Rebel,Juegos,0.99,19,4.42,11,0,0,1
Margaret Moore,Madness Attacks,Madness Attacks,Extranjero,1.99,25,4.13,8,0,1,0
Jennie Terry,Fargo Gandhi,Fargo Gandhi,Niños,2.99,24,3.87,13,0,1,0
Wilma Richards,Stock Glass,Stock Glass,Nuevo,3.99,14,4.63,14,0,0,1
Cecil Vines,Tomatoes Hellfighters,Tomatoes Hellfighters,Viajar,0.99,14,4.24,15,0,0,0
Emily Diaz,Hollow Jeopardy,Hollow Jeopardy,Ciencia ficción,4.99,10,4.32,2,0,0,0
Joel Francisco,Color Philadelphia,Color Philadelphia,Clásicos,2.99,24,3.88,3,0,1,0
Wallace Slone,Affair Prejudice,Affair Prejudice,Horror,4.99,23,4.4,10,0,1,0
Yvonne Watkins,Gunfight Moon,Gunfight Moon,Comedia,1.99,24,4.66,4,0,1,1
Cassandra Walters,Sorority Queen,Sorority Queen,Extranjero,0.99,12,4.13,8,0,0,0
Calvin Martel,Blues Instinct,Blues Instinct,Familia,2.99,21,3.86,9,0,1,0
Leslie Seward,Backlash Undefeated,Backlash Undefeated,Niños,8.99,19,3.87,13,1,0,0
Roger Quintanilla,Wonderland Christmas,Wonderland Christmas,Ciencia ficción,8.99,22,4.32,2,1,1,0
Ken Prewitt,Mannequin Worst,Mannequin Worst,Nuevo,3.99,5,4.63,14,0,0,1
Dustin Gillette,Unforgiven Zoolander,Unforgiven Zoolander,Ciencia ficción,2.99,18,4.32,2,0,0,0
Tonya Chapman,Tequila Past,Tequila Past,Niños,4.99,6,3.87,13,1,0,0
Elaine Stevens,Apollo Teen,Apollo Teen,Viajar,5.99,17,4.24,15,1,0,0
David Royal,Reign Gentlemen,Reign Gentlemen,Ciencia ficción,8.99,20,4.32,2,1,0,0
Alexander Fennell,Movie Shakespeare,Movie Shakespeare,Familia,4.99,27,3.86,9,1,1,0
Viola Hanson,Savannah Town,Savannah Town,Drama,4.99,12,4.33,7,0,0,0
Virgil Wofford,Core Suit,Core Suit,Clásicos,8.99,18,3.88,3,1,0,0
Gertrude Castillo,Monterey Labyrinth,Monterey Labyrinth,Horror,0.99,13,4.4,10,0,0,0
Lucille Holmes,Gaslight Crusade,Gaslight Crusade,Horror,2.99,16,4.4,10,0,0,0
Clara Shaw,Anaconda Confessions,Anaconda Confessions,Animación,3.99,21,3.99,1,0,1,0
Judith Cox,Expendable Stallion,Expendable Stallion,Documental,5.99,28,4.02,6,1,1,0
Bernice Willis,Mockingbird Hollywood,Mockingbird Hollywood,Acción,5.99,24,3.94,0,1,1,0
Bernice Willis,Goodfellas Salute,Goodfellas Salute,Ciencia ficción,4.99,31,4.32,2,0,1,0
Roberta Harper,Sunrise League,Sunrise League,Animación,7.99,24,3.99,1,1,1,0
Terri Vasquez,Apocalypse Flamingos,Apocalypse Flamingos,Nuevo,4.99,6,4.63,14,0,0,1
Arlene Harvey,Harry Idaho,Harry Idaho,Drama,7.99,30,4.33,7,1,1,0
Ken Prewitt,Lola Agent,Lola Agent,Horror,4.99,24,4.4,10,0,1,0
Stacy Cunningham,Daddy Pittsburgh,Daddy Pittsburgh,Comedia,7.99,13,4.66,4,1,0,1
Tiffany Jordan,Wife Turn,Wife Turn,Documental,4.99,31,4.02,6,1,1,0
Tina Simmons,Dorado Notting,Dorado Notting,Música,4.99,27,4.12,12,1,1,0
Pauline Henry,Mixed Doors,Mixed Doors,Extranjero,2.99,4,4.13,8,0,0,0
Willie Markham,Driver Annie,Driver Annie,Deportes,7.99,18,4.51,5,1,0,1
Lydia Burke,Moulin Wake,Moulin Wake,Viajar,0.99,16,4.24,15,0,0,0
Raul Fortier,Happiness United,Happiness United,Extranjero,2.99,6,4.13,8,0,0,0
Virgil Wofford,Orange Grapes,Orange Grapes,Extranjero,1.99,24,4.13,8,0,1,0
Robert Baughman,English Bulworth,English Bulworth,Ciencia ficción,3.99,30,4.32,2,0,1,0
Paula Bryant,Magnolia Forrester,Magnolia Forrester,Acción,5.99,11,3.94,0,1,0,0
Paul Trout,Mulan Moon,Mulan Moon,Comedia,3.99,13,4.66,4,0,0,1
Valerie Black,Hollywood Anonymous,Hollywood Anonymous,Niños,0.99,13,3.87,13,0,0,0
Sara Perry,Snowman Rollercoaster,Snowman Rollercoaster,Animación,6.99,23,3.99,1,1,1,0
Armando Gruber,Halloween Nuts,Halloween Nuts,Documental,3.99,10,4.02,6,0,0,0
Sherry Marshall,Gold River,Gold River,Comedia,8.99,14,4.66,4,1,0,1
Caroline Bowman,Camelot Vacation,Camelot Vacation,Ciencia ficción,0.99,27,4.32,2,0,1,0
Erin Dunn,Fight Jawbreaker,Fight Jawbreaker,Animación,0.99,22,3.99,1,0,1,0
